
2025/07/26 (18:36:14) | ===> btop++ v.1.3.0
2025/07/26 (18:36:56) | ERROR: Stall in Runner thread, restarting!
2025/07/26 (18:39:09) | ERROR: Stall in Runner thread, restarting!
2025/07/26 (19:28:48) | WARNING: Failed to join _runner thread on exit!

2025/08/02 (19:00:20) | ===> btop++ v.1.3.0
2025/08/02 (19:00:37) | ERROR: Stall in Runner thread, restarting!
2025/08/02 (19:04:03) | ERROR: Stall in Runner thread, restarting!
2025/08/02 (19:04:09) | ERROR: Stall in Runner thread, restarting!
2025/08/02 (19:05:02) | ERROR: Stall in Runner thread, restarting!
2025/08/02 (19:05:32) | ERROR: Stall in Runner thread, restarting!

2025/08/03 (23:58:28) | ===> btop++ v.1.3.0
2025/08/03 (23:58:28) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
